"餐廳名稱","地址","圖標類型","Michelin","Google評分","餐廳簡介","人均消費（VND，約）","餐廳名物","評分核對日期","備註"
"Mỳ Quảng Sứa Hồng Vân","59C Lê Hồng Phong, Hải Châu, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","必比登","4.4","專門供應峴港少見的水母 Mỳ Quảng，口感爽脆，配濃郁中部湯汁。","45,000–90,000 VND（約 HK$15–25）","水母 Mỳ Quảng、什錦廣南麵","2026-08-18","水母口感爽脆，適合想試本地特色。"
"Phú Hồng","19 Yên Bái, Hải Châu, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","必比登","4.8","炭火烤肉香氣十足的小店，可選烤肉米粉或配香草和米紙包食。","60,000–140,000 VND（約 HK$20–40）","bún thịt nướng 烤豬肉米粉、免治豬肉串、豬腩及牛肉燒烤","2026-08-18","午市及晚市中間可能休息。"
"Quán Nhân","83 Phan Tứ, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","必比登","4.7","以 Cẩm Nam 本地鴨熬製濃滑鴨粥，米、綠豆及薏米吸收鴨湯精華。","80,000–180,000 VND（約 HK$25–55）","鴨粥、白切鴨、越式鴨肉沙律","2026-08-18","多人可另點半隻或一隻鴨分享。"
"Quê Xưa","165–167 Núi Thành, Hòa Cường, Đà Nẵng 550000, Vietnam","🍽️ 越南菜","必比登","4.1","兩層高的熱鬧本地餐館，集中做好廣南麵及豬腩米紙卷兩項地道菜。","80,000–180,000 VND（約 HK$25–55）","Mỳ Quảng、bánh tráng thịt heo 豬肉米紙卷","2026-08-18","繁忙時可能需要搭枱。"
"Rang","384 Võ Nguyên Giáp, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam","🥘 印度菜","必比登","4.9","由印度出生、澳洲成長的兄弟主廚，把印度菜以較現代的方式呈現。","300,000–600,000 VND（約 HK$90–180）","chicken tikka、dal tadka 黃扁豆咖喱、biryani、naan","2026-08-18","海旁位置；適合晚餐。"
"Thìa Gỗ","53 Phan Thúc Duyện, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam","🍽️ 越南菜","必比登","4.7","氣氛親切的越南家庭菜餐廳，菜式適合分享，也方便首次接觸中部料理的旅客。","150,000–300,000 VND（約 HK$45–90）","越式煎餅、烤肉米紙卷、家庭式越南小菜","2026-08-18","多人分享較容易試多款菜。"
"Bà Diệu (Trần Tống)","17 Trần Tống, Thanh Khê, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","Selected","4.1","專門供應牛肉米線，湯底肉香濃而帶自然甜味，可選牛舌、牛筋、豬丸或豬手。","45,000–90,000 VND（約 HK$15–25）","bún bò thập cẩm 什錦牛肉及豬肉米線","2026-08-18","Michelin 指定 Trần Tống 分店。"
"Bánh Canh Yến","253 Nguyễn Hoàng, Hải Châu, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","Selected","4.4","以木薯粉及米粉製粗彈 bánh canh，配生魚與豬骨湯底。","40,000–90,000 VND（約 HK$10–25）","bánh canh、魚餅、鵪鶉蛋、蟹餅及油條","2026-08-18","油條可另點增加口感。"
"Bánh Xèo Bà Dưỡng","280/23 Hoàng Diệu, Hải Châu, Đà Nẵng 550000, Vietnam","🍽️ 越南菜","Selected","4.3","藏於巷內的峴港名店，以即叫即煎的香脆 bánh xèo 及濃花生蘸醬聞名。","80,000–180,000 VND（約 HK$25–55）","bánh xèo、nem lụi 香茅豬肉串、花生蘸醬","2026-08-18","入口在窄巷內；常有排隊。"
"Bếp Cuốn","31–33 Trần Bạch Đằng, An Hải, Đà Nẵng 550000, Vietnam","🍽️ 越南菜","Selected","4.9","竹木與燈籠裝潢的舒適餐廳，菜單涵蓋越南南北菜，亦有一人套餐。","150,000–350,000 VND（約 HK$45–105）","Mẹt Bếp Cuốn 四款小食拼盤、魚露及羅望子蘸醬","2026-08-18","適合團體及初次嘗試越南菜。"
"Bếp Hên","47 Lê Hồng Phong, Hải Châu, Đà Nẵng 550000, Vietnam","🍽️ 越南菜","Selected","4.4","以 1990 年代懷舊家居風格呈現媽媽手藝，供應樸實且分量充足的越南家庭菜。","120,000–280,000 VND（約 HK$35–85）","蒜香蝦、蒜炒通菜、媽媽精選家庭小菜","2026-08-18","午晚市之間可能休息。"
"Bún Chả Cá Bà Hoa","27 Lê Hồng Phong, Hải Châu, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","Selected","4.2","本地魚餅米線店，以清甜魚湯及多款魚餅作快捷早餐或午餐。","40,000–80,000 VND（約 HK$10–25）","bún chả cá、魚餅及鮪魚配料","2026-08-18","座位及環境較地道簡單。"
"Bún Riêu Cua 39","39 Lê Hồng Phong, Hải Châu, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","Selected","4.4","主打蟹膏番茄湯米線，湯底酸香清爽，配料選擇豐富。","45,000–95,000 VND（約 HK$15–30）","bún riêu cua 蟹膏番茄米線、蟹肉餅及豆腐","2026-08-18","2025 新入選。"
"Cơm Gà Lan","520 Trưng Nữ Vương, Hòa Cường, Đà Nẵng 550000, Vietnam","🍚 雞飯／米飯","Selected","4.3","專門供應峴港式雞飯，米飯吸收雞油和香料，配雞肉及酸爽小菜。","45,000–100,000 VND（約 HK$15–30）","手撕雞飯、炸雞飯、雞肉沙律","2026-08-18","適合快速正餐。"
"Le Comptoir","16 Chế Lan Viên, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam","🇫🇷 法國／歐洲餐","Selected","4.9","里昂主廚經營的精緻法式餐廳，以高質本地及入口食材製作正統小酒館菜。","1,200,000–2,500,000 VND（約 HK$360–745）","烤牛骨髓、手切和牛他他、煙燻蒜味蛋黃醬","2026-08-18","建議預約；未含酒水。"
"Luk Lak","28 Bạch Đằng, Hải Châu, Đà Nẵng 550000, Vietnam","🍽️ 越南菜","Selected","4.6","位於韓江旁的現代越南餐廳，以精緻環境重現經典家常及地方菜。","250,000–500,000 VND（約 HK$75–150）","bò lúc lắc 越式炒牛肉、越式春卷及地方小菜","2026-08-18","適合想在舒適環境吃越南菜。"
"Madame Lân","04 Bạch Đằng, Hải Châu, Đà Nẵng 550000, Vietnam","🍽️ 越南菜","Selected","4.2","會安風黃屋與燈籠庭園餐廳，菜單廣泛涵蓋越南各地菜式。","250,000–500,000 VND（約 HK$75–150）","峴港炸魚米紙卷、蒌葉炒牛肉沙律","2026-08-18","場地大，適合家庭及團體。"
"MỘC Quán Seafood","26 Tô Hiến Thành, An Hải, Đà Nẵng 550000, Vietnam","🦐 海鮮","Selected","4.8","設有戶外座位及大型海鮮缸，可選多種東南亞風味烹調，職員會協助拆殼。","400,000–900,000 VND（約 HK$120–270）","蒜香牛油龍蝦、鮮蝦及貝類","2026-08-18","建議預約；海鮮按重量計價。"
"My Hanh Seafood","03–05 Võ Nguyên Giáp, An Hải, Đà Nẵng 550000, Vietnam","🦐 海鮮","Selected","4.7","海濱露台可觀海景，以水缸鮮魚、貝類及較精緻的海鮮烹調見稱。","600,000–1,500,000 VND（約 HK$180–450）","瀨尿蝦、會安泥蟹、鮮魚及貝類","2026-08-18","價位較高；海鮮按重量計價。"
"Mỳ Quảng Cô Sáu","397 Trần Hưng Đạo, An Hải, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","Selected","4.6","韓江旁的輕鬆小店，由廣南店主製作薑黃香濃的傳統 Mỳ Quảng。","50,000–120,000 VND（約 HK$15–35）","雞／魚／蝦 Mỳ Quảng、豬腩香草米紙卷","2026-08-18","營業時間較長，方便安排行程。"
"Năm Đảnh Seafood","139/59/38 Trần Quang Khải, Sơn Trà, Đà Nẵng, Vietnam","🦐 海鮮","Selected","4.1","藏於住宅區深巷的平價本地海鮮店，環境樸實，適合多人點菜分享。","250,000–600,000 VND（約 HK$75–180）","蒸蜆、烤帶子、蝦蟹及每日鮮魚","2026-08-18","巷道較深；海鮮按重量及時價計算。"
"Nén Danang","16 Mỹ Đa Tây 2, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam","✨ 越南現代料理","綠星／Selected","4.4","Summer Le 主廚以自家農場及中部地方食材製作敘事式單一品嘗餐單，菜單定期更換。","1,800,000–3,500,000 VND（約 HK$535–1,045）","季節越南現代品嘗餐單、可加葡萄酒或清酒配對","2026-08-18","需預約；沒有固定單一道名物。"
"Nu Đồ Kitchen","11/1 Lưu Quang Thuận, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam","🍜 麵食／街頭小吃","Selected","4.8","以傳統竹籃上菜的創意 Mỳ Quảng 店，四款麵各有配合主食材的專用湯汁。","80,000–180,000 VND（約 HK$25–55）","薑黃香生魚 Mỳ Quảng、四款特色廣南麵","2026-08-18","星期日或會休息，出發前再確認。"
"Olivia's Prime","Indochina Mall, 74 Bạch Đằng, Hải Châu, Đà Nẵng 550000, Vietnam","🥩 牛扒","Selected","4.6","位於 Indochina Mall 的高級牛扒館，主打精選牛肉部位及火候控制。","1,000,000–2,500,000 VND（約 HK$300–745）","乾式熟成牛扒、和牛及各式優質牛扒部位","2026-08-18","未含酒水；建議預約。"
"Si Dining","01 Giang Châu 2, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam","🇮🇹 意大利現代菜","Selected","4.8","浪漫露天意大利現代餐廳，以每日漁獲和季節食材製作五道或八道式餐單。","1,200,000–2,200,000 VND（約 HK$360–655）","每日鮮魚、五道／八道式海鮮品嘗餐單、葡萄酒配對","2026-08-18","建議預約；餐單隨漁獲更改。"
"The Temptation","125 Hồ Nghinh, An Hải, Đà Nẵng 550000, Vietnam","🇫🇷 法國／歐洲餐","Selected","4.5","旅法越南主廚在庭園別墅呈現法國現代料理，擺盤細緻而帶玩味。","800,000–1,800,000 VND（約 HK$240–535）","The Sweet Egg Nest of Han River 糖絲蛋巢甜品、現代法式套餐","2026-08-18","星期一或會休息；建議預約。"
